date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary,volume,open,high,low,close,adj close,next_close,return_1d,signal,sentiment,strategy_return,cumulative_return
2017-08-15,"Earnings Scheduled For August 15, 2017",AAP,https://www.benzinga.com/news/earnings/17/08/9931140/earnings-scheduled-for-august-15-2017,Lisa Levin,,,,,,,19749500.0,91.98999786376952,93.0,82.20999908447266,87.08000183105469,86.44839477539062,91.51000213623048,5.087276311466449,Bullish,Neutral,0,0
2010-12-13,Base Metals Rise as China Rates Stay Put,AA,https://www.benzinga.com/10/12/692125/base-metals-rise-as-china-rates-stay-put,webmaster,,,,,,,6981300.0,34.53110885620117,34.84349822998047,34.31483840942383,34.507080078125,32.23064422607422,34.12260055541992,-1.1142047424314248,Bearish,Positive,0,0
2010-10-07,Alcoa Reports Better Than Expected Earnings,AA,https://www.benzinga.com/news/earnings/10/10/514526/alcoa-reports-better-than-expected-earnings,Roger Nachman,,,,,,,17258600.0,30.085559844970703,30.20570945739746,29.19644927978516,29.316600799560547,27.320531845092773,29.316600799560547,0.0,Neutral,Positive,0,0
2016-05-05,Mid-Afternoon Market Update: U.S. Stocks Turn Lower; Zynga Shares Rise Following Earnings Beat,AAWW,https://www.benzinga.com/news/earnings/16/05/7938610/mid-afternoon-market-update-u-s-stocks-turn-lower-zynga-shares-rise-foll,Lisa Levin,,,,,,,4234400.0,50.900001525878906,57.77000045776367,45.0,48.65999984741211,48.65999984741211,48.65999984741211,0.0,Neutral,Positive,0,0
2012-05-15,"Stifel Nicolaus Maintains Agilent Technologies at Buy, Raises PT from $52 to $54",A,https://www.benzinga.com/analyst-ratings/price-target/12/05/2588409/stifel-nicolaus-maintains-agilent-technologies-at-buy-rai,webmaster,,,,,,,9783000.0,29.263233184814453,29.735336303710938,28.90557861328125,28.977109909057617,26.53336334228516,28.977109909057617,0.0,Neutral,Positive,0,0
2020-03-19,"Nomura Maintains Neutral on Advance Auto Parts, Lowers Price Target to $115",AAP,https://www.benzinga.com/news/20/03/15606392/nomura-maintains-neutral-on-advance-auto-parts-lowers-price-target-to-115,Vick Meyer,,,,,,,1185000.0,86.4800033569336,89.41999816894531,81.62000274658203,85.97000122070312,85.97000122070312,78.5,-8.689078881743944,Bearish,Negative,0,0
2019-01-31,AmerisourceBergen Narrows FY19 Adj. EPS Guidance From $6.65-$6.95 To $6.65-$6.85 vs $6.78 Estimate,ABC,https://www.benzinga.com/news/19/01/13071523/amerisourcebergen-narrows-fy19-adj-eps-guidance-from-6-65-6-95-to-6-65-6-85-vs-6,Benzinga Newsdesk,,,,,,,4542200.0,80.4800033569336,85.86000061035156,80.4800033569336,83.37000274658203,81.43205261230469,83.37000274658203,0.0,Neutral,Negative,0,0
2017-04-27,"American Air Reports Q1 Adj. EPS $0.61 vs $0.55 Est., Sales $9.624B vs $9.6B Est.",AAL,https://www.benzinga.com/news/earnings/17/04/9355138/american-air-reports-q1-adj-eps-0-61-vs-0-55-est-sales-9-624b-vs-9-6b-es,Paul Quintaro,,,,,,,18988600.0,43.90999984741211,44.209999084472656,42.40999984741211,43.97999954223633,42.59385681152344,43.97999954223633,0.0,Neutral,Neutral,0,0
2012-10-22,"Deutsche Bank Maintains Advance Auto Parts at Hold, Lowers PT from $74 to $70",AAP,https://www.benzinga.com/analyst-ratings/price-target/12/10/3014395/deutsche-bank-maintains-advance-auto-parts-at-hold-lowers,Juan Lopez,,,,,,,2884100.0,65.76000213623047,66.41999816894531,64.36000061035156,66.1500015258789,65.06257629394531,66.1500015258789,0.0,Neutral,Negative,0,0
2015-02-09,Morgan Stanley Doesn't Expect Q4 Comp Upside For Advance Auto Parts,AAP,https://www.benzinga.com/analyst-ratings/analyst-color/15/02/5222882/morgan-stanley-doesnt-expect-q4-comp-upside-for-advance-,Dwight Einhorn,,,,,,,1064200.0,161.6199951171875,161.75999450683594,159.07000732421875,160.74000549316406,158.94906616210938,151.4199981689453,-5.7981877601809035,Bearish,Neutral,0,0
2011-01-10,"Earnings Expectations: 4Q, 2010 & 2011 - Analyst Blog",AA,https://www.benzinga.com/11/01/765262/earnings-expectations-4q-2010-2011-analyst-blog,Zacks,,,,,,,24682600.0,40.15412902832031,40.15412902832031,39.40919876098633,39.62546920776367,37.01138305664063,39.62546920776367,0.0,Neutral,Neutral,0,0
2016-02-11,"Advance Auto Parts Q4 EPS $1.22 vs $1.21 est, Revenue $2.03B vs $2.05B est",AAP,https://www.benzinga.com/news/earnings/16/02/6246834/advance-auto-parts-q4-eps-1-22-vs-1-21-est-revenue-2-03b-vs-2-05b-est,Paul Quintaro,,,,,,,2575700.0,137.0399932861328,142.77000427246094,131.58999633789062,138.41000366210938,137.07574462890625,138.41000366210938,0.0,Neutral,Neutral,0,0
2014-11-13,Morgan Stanley Downgrades ABB Ltd to Equalweight,ABB,https://www.benzinga.com/news/14/11/5008255/morgan-stanley-downgrades-abb-ltd-to-equalweight,Paul Quintaro,,,,,,,2820700.0,22.32999992370605,22.5,21.93000030517578,22.06999969482422,17.54875373840332,21.21999931335449,-3.8513837481795226,Bearish,Negative,0,0
2016-10-11,Mid-Afternoon Market Update: Dow Drops 250 Points; Biostar Pharmaceuticals Shares Spike Higher,AA,https://www.benzinga.com/news/earnings/16/10/8551394/mid-afternoon-market-update-dow-drops-250-points-biostar-pharmaceuticals,Lisa Levin,,,,,,,40784200.0,23.813730239868164,23.813730239868164,22.339889526367188,22.35590934753418,22.268428802490234,22.35590934753418,0.0,Neutral,Positive,0,0
2011-05-03,Alcoa Call Option Volume Rises To Triple Average As Shares Rise 2% (AA),AA,https://www.benzinga.com/news/11/05/1052549/alcoa-call-option-volume-rises-to-triple-average-as-shares-rise-2-aa,Benzinga Staff,,,,,,,31226300.0,41.2595100402832,43.15787887573242,41.16339111328125,42.46100997924805,39.72866439819336,42.46100997924805,0.0,Neutral,Positive,0,0
2011-12-12,US Stock Futures Signal Lower Start On Wall Street,ABB,https://www.benzinga.com/news/11/12/2196363/us-stock-futures-signal-lower-start-on-wall-street,Lisa Levin,,,,,,,4462600.0,18.3799991607666,18.43000030517578,18.14999961853028,18.32999992370605,13.141860961914062,18.32999992370605,0.0,Neutral,Negative,0,0
2009-08-10,"SeQent Is ""Connected With Kepware""",A,https://www.benzinga.com/09/08/1264/seqent-is-connected-with-kepware,Benzinga Staff,,,,,,,3605100.0,16.93132972717285,17.081544876098633,16.738197326660156,17.045780181884766,15.55916690826416,17.045780181884766,0.0,Neutral,Neutral,0,0
2013-10-17,"UBS Maintains Buy on Advance Auto Parts Inc, Raises PT to $110.00",AAP,https://www.benzinga.com/news/13/10/3999751/ubs-maintains-buy-on-advance-auto-parts-inc-raises-pt-to-110-00,Paul Quintaro,,,,,,,3577600.0,96.6500015258789,97.97000122070312,95.81999969482422,97.22000122070312,95.91301727294922,97.22000122070312,0.0,Neutral,Positive,0,0
2011-11-11,JP Morgan Raises PT on Advance Auto Parts to $66,AAP,https://www.benzinga.com/analyst-ratings/price-target/11/11/2118641/jp-morgan-raises-pt-on-advance-auto-parts-to-66,Joe Young,,,,,,,1184100.0,70.18000030517578,70.80999755859375,69.66999816894531,70.27999877929688,68.8966064453125,68.9800033569336,-1.8497374003174212,Bearish,Positive,0,0
2012-01-17,Morgan Stanley Closes Research Tactical Idea on AllianceBernstein,AB,https://www.benzinga.com/analyst-ratings/analyst-color/12/01/2268607/morgan-stanley-closes-research-tactical-idea-on-alliance,Juan Lopez,,,,,,,360900.0,14.529999732971191,14.720000267028809,14.399999618530272,14.630000114440918,7.57912015914917,15.43000030517578,5.468217255481774,Bullish,Neutral,0,0
2016-05-05,"Earnings Scheduled For May 5, 2016",ABC,https://www.benzinga.com/news/earnings/16/05/7934436/earnings-scheduled-for-may-5-2016,Monica Gerson,,,,,,,11877900.0,77.94999694824219,79.68000030517578,76.81999969482422,78.0,72.63611602783203,77.37000274658203,-0.8076887864332933,Bearish,Neutral,0,0
2016-02-11,"Earnings Scheduled For February 11, 2016",AAP,https://www.benzinga.com/news/earnings/16/02/6246504/earnings-scheduled-for-february-11-2016,Monica Gerson,,,,,,,2575700.0,137.0399932861328,142.77000427246094,131.58999633789062,138.41000366210938,137.07574462890625,146.0,5.483705033647388,Bullish,Neutral,0,0
2011-03-03,March Market Madness: Alcoa (AA),AA,https://www.benzinga.com/11/03/901590/march-market-madness-alcoa-aa,The Disciplined Investor,,,,,,,7964200.0,39.33710861206055,40.29830932617188,39.313079833984375,39.961891174316406,37.39036178588867,39.961891174316406,0.0,Neutral,Negative,0,0
2018-08-14,Benzinga Pro's 5 Stocks To Watch Today,AAP,https://www.benzinga.com/news/18/08/12199245/benzinga-pros-5-stocks-to-watch-today,Jayson Derrick,,,,,,,4487600.0,153.33999633789062,159.5,152.32000732421875,156.1300048828125,155.3380584716797,156.1300048828125,0.0,Neutral,Neutral,0,0
2013-01-02,"UPDATE: J.P. Morgan Initiates Coverage on AbbVie with Neutral Rating, $38 PT",ABBV,https://www.benzinga.com/analyst-ratings/analyst-color/13/01/3208946/update-j-p-morgan-initiates-coverage-on-abbvie-with-neut,Dwight Einhorn,,,,,,,13767900.0,34.91999816894531,35.400001525878906,34.099998474121094,35.119998931884766,26.061084747314453,34.83000183105469,-0.825732088980206,Bearish,Neutral,0,0
2019-05-08,"Applied Optoelectronics Q1 EPS $(0.27) Misses $(0.22) Estimate, Sales $52.7M Miss $52.86M Estimate",AAOI,https://www.benzinga.com/news/earnings/19/05/13697682/applied-optoelectronics-q1-eps-0-27-misses-0-22-estimate-sales-52-7m-miss-52-86m-estimate,luke@benzinga.com,,,,,,,1155900.0,12.06999969482422,12.34000015258789,11.899999618530272,12.0600004196167,12.0600004196167,12.0600004196167,0.0,Neutral,Negative,0,0
2018-02-15,"Bank Of America Out Positive On Agilent, Raises Price Target From $80 To $83 As Frim Says Core Business Continues To Do Well, Led By C&E Strength And Pharma; Remains A Focus Stock For Bank of America",A,https://www.benzinga.com/analyst-ratings/analyst-color/18/02/11209782/bank-of-america-out-positive-on-agilent-raises-price-ta,Eddie Staley,,,,,,,4899100.0,74.94000244140625,74.98999786376953,71.22000122070312,72.0199966430664,70.57499694824219,72.0199966430664,0.0,Neutral,Positive,0,0
2017-12-12,"Advance Auto Parts Shares Up 3.49%; Morgan Stanley Earlier Raised Price Target From $96 to $120, Saying Performance 'May get worse before it gets better but biggest disruption behind'",AAP,https://www.benzinga.com/analyst-ratings/analyst-color/17/12/10904244/advance-auto-parts-shares-up-3-49-morgan-stanley-earlie,Hal Lindon,,,,,,,2442400.0,101.70999908447266,105.55999755859376,101.70999908447266,103.02999877929688,102.34752655029295,114.0,10.647385567966703,Bullish,Positive,0,0
2011-01-21,"Stock Market News for Jan 21, 2011 - Market News",AA,https://www.benzinga.com/11/01/797850/stock-market-news-for-jan-21-2011-market-news,Zacks,,,,,,,11634000.0,38.6162109375,38.9286003112793,37.89530944824219,37.9433708190918,35.440223693847656,37.9433708190918,0.0,Neutral,Neutral,0,0
2019-12-10,PreMarket Prep Recap: Yo-Yo Market And After-Hours Overshoot On Ackman's New Stake,A,https://www.benzinga.com/trading-ideas/long-ideas/19/12/14965258/premarket-prep-recap-yo-yo-market-and-after-hours-overshoot-on-ackmans-new-stake,Joel Elconin,,,,,,,3067700.0,82.9000015258789,83.80000305175781,82.69999694824219,82.93000030517578,82.54517364501953,82.93000030517578,0.0,Neutral,Negative,0,0
2013-07-08,Alcoa Tops Expectations (AA),AA,https://www.benzinga.com/news/earnings/13/07/3735684/alcoa-tops-expectations-aa,Scott Rubin,,,,,,,10011900.0,18.935640335083008,19.07982063293457,18.74340057373047,19.03175926208496,18.29045486450196,19.03175926208496,0.0,Neutral,Positive,0,0
2020-03-27,"Regional Banks, Other Cyclicals Saw Buying Interest Yesterday Amid Stimulus Hopes",AAPL,https://www.benzinga.com/news/20/03/15683201/regional-banks-other-cyclicals-saw-buying-interest-yesterday-amid-stimulus-hopes,JJ Kinahan,,,,,,,51054200.0,252.75,255.8699951171875,247.0500030517578,247.7400054931641,247.7400054931641,247.7400054931641,0.0,Neutral,Neutral,0,0
